requirement_id,gate,sequence,priority,scope_classification,title,current_repository_evidence,owner,status,entry_condition,evidence_ceiling
T2-POS-010,Gate7B,1,P0,V1_REQUIRED,班次现金收支与钱箱事件,local_cash_ledger仅允许SALE_RECEIPT且班次仅有开班备用金与关班实盘,Order/POS,DRAFT,Gate7B逐项准入且先冻结只追加现金流水与审批边界,SOFTWARE_EXECUTION
T2-POS-011,Gate7B,2,P0,V1_REQUIRED,小票模板打印任务与补打审计,local_print_job每单唯一且仅PENDING/PRINTED/FAILED并无reprint事实,POS/Device,DRAFT,T2-POS-010独立VERIFIED后逐项准入；真实打印仍受T2-PRN-001阻断,SOFTWARE_EXECUTION
T2-ORD-004,Gate7B,3,P0,V1_REQUIRED,交易取消作废与结算后反向处置,local_order预留CANCELLED但无正式取消应用服务；已完成订单只能走原单退货退款,Order/Return,DRAFT,T2-POS-011独立VERIFIED后逐项准入且禁止删除或覆盖成交事实,SOFTWARE_EXECUTION
T2-EXG-001,Gate7B,4,P1,CR_REQUIRED,换货编排与新旧单关联,生产路径不存在exchange运行时且DEC-04明确T2后置,Return/Order,DRAFT,独立CR获批且T2-ORD-004独立VERIFIED后方可READY,SOFTWARE_EXECUTION
T2-PAY-004,Gate7B,5,P1,V1_LATER,Provider无关组合支付与部分支付,POS仅现金单次结算且未发现mixed或split tender运行时,Payment/Order/POS,DRAFT,T2-ORD-004独立VERIFIED后逐项准入；电子份额仍受T2-PAY-002阻断,SOFTWARE_EXECUTION
T2-PRD-005,Gate7C,1,P1,CONDITIONAL_INDUSTRY,秤码金额码与精确计量快照,Catalog有WEIGHT类型与条码基础字段但POS只做完整条码精确查询且未冻结编码重量或金额,Product/POS,DRAFT,Gate7C确认且冻结编码模板版本与精确数量金额不变量,SOFTWARE_EXECUTION
T2-LBL-001,Gate7C,2,P1,V1_LATER,价签任务模板与换签异常,生产路径未发现货架价签任务或调价后未换签清单,Product/Pricing/Device,DRAFT,T2-PRD-005独立VERIFIED后逐项准入；物理打印仍受T2-PRN-001阻断,SOFTWARE_EXECUTION
T2-RPL-001,Gate7C,3,P1,V1_LATER,规则化库存预警与补货建议,库存具备余额策略但无最低最高库存与建议转采购草稿运行时,Inventory/Procurement,DRAFT,T2-LBL-001独立VERIFIED后逐项准入；禁止预测式智能补货和直接改库存,SOFTWARE_EXECUTION
T2-DMT-001,Gate7C,4,P0,V1_REQUIRED,开业业务资料迁移预检与对账切换,T2-MIG-001仅治理Schema迁移且Gate6G只提供合成种子；无旧系统业务数据迁移批次,Data/Owners,DRAFT,T2-RPL-001独立VERIFIED后逐项准入且只允许合成脱敏样本,SOFTWARE_EXECUTION
T2-ONB-001,Gate7C,5,P0,V1_REQUIRED,门店克隆行业模板与开店检查,Foundation有行业模板和门店CRUD但无门店克隆或开业里程碑状态机,Foundation/Operations,DRAFT,T2-DMT-001独立VERIFIED后逐项准入；不得复制核心状态机,SOFTWARE_EXECUTION
T2-LOT-001,Gate7C,6,P1,CONDITIONAL_INDUSTRY,社区超市批次效期与临期治理,现有库存维度未正式启用批次效期且DEC-08限定为社区超市条件能力,Inventory/Catalog,DRAFT,T2-ONB-001独立VERIFIED并单独确认社区超市模板后准入；不含批次成本和复杂WMS,SOFTWARE_EXECUTION
T2-CLS-001,Gate7D,1,P0,V1_REQUIRED,门店日结与现金销售逐日关账,已有班次关闭和逐日报表但无门店业务日关账状态与差异签署,Reporting/Order/Operations,DRAFT,Gate7D逐项准入且只读权威事实并以新事实关闭业务日,SOFTWARE_EXECUTION
T2-EXC-001,Gate7D,2,P0,V1_REQUIRED,统一经营异常与人工修复工作台,同步死信与各Owner差异分散存在但无统一认领处置审计入口,Operations/Owners,DRAFT,T2-CLS-001独立VERIFIED后逐项准入；异常中心不得覆盖Owner事实,SOFTWARE_EXECUTION
T2-MEM-003,Gate7D,3,P1,CR_REQUIRED,会员等级权益会员价与成交快照联动,Member有等级历史与积分但Catalog/Promotion/POS无会员价和权益快照联动,Member/Pricing/Promotion/Order,DRAFT,独立CR获批且T2-EXC-001独立VERIFIED后方可READY；不含储值复杂券,SOFTWARE_EXECUTION
T2-SAA-001,Gate7D,4,P0,CR_REQUIRED,标准商户开户与套餐权益治理,RuoYi仅有租户套餐菜单和到期字段且无鲸熵汇商业权益Owner与开通状态机,SaaS/Foundation,DRAFT,独立CR获批并冻结框架复用与禁止修改边界后方可READY,SOFTWARE_EXECUTION
T2-SUB-001,Gate7D,5,P1,CR_REQUIRED,商业订阅续期宽限到期与降级治理,生产路径未发现订阅合同生命周期或到期提醒与受控降级事实,SaaS/Commercial,DRAFT,独立CR获批且T2-SAA-001独立VERIFIED后方可READY；不含收款发票总账,SOFTWARE_EXECUTION
T2-SVC-001,Gate7D,6,P1,CR_REQUIRED,标准实施清单与服务工单,生产路径未发现实施项目或服务工单Owner且V1要求标准实施工具,SaaS/Service,DRAFT,独立CR获批且T2-SUB-001独立VERIFIED后方可READY；不形成商业SLA,SOFTWARE_EXECUTION
T2-E2E-004,Gate7E,1,P0,V1_SUMMARY,商业V1内部业务补全候选闭环,现有E2E-003不覆盖Gate7新增候选功能且外部P0继续阻断,QA/Architecture,DRAFT,Gate7B至7D所有实际准入项ACCEPTED且P0P1缺陷为0,INTERNAL_V1_BUSINESS_COMPLETE_CANDIDATE
