requirement_id,owner,planned_table,data_access_strategy,sql_mode,mutation_boundary,tenant_rule,primary_key,planned_indexes,retention_and_archive,comment_requirement,migration_note
T2-SAA-001,SAAS,saas_merchant_application,CONTROLLED_WRITE,HYBRID,具名状态条件更新且版本乐观锁,租户生成前按application_id平台权限隔离生成后绑定可信tenant_id,ULID,application_code唯一及status_created_at索引,拒绝申请按策略归档激活申请长期保留,表及字段中文COMMENT,仅设计后续从下一可用Flyway版本前向创建
T2-SAA-001,SAAS,saas_application_state_event,APPEND_ONLY,XML,只追加状态事实禁止更新删除,继承申请隔离并记录绑定tenant_id,ULID,application_id_version唯一及occurred_at索引,长期保留并可按年份归档,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SAA-001,SAAS,saas_plan,CRUD_ENTITY,MP,普通主数据但禁止物理删除已引用计划,平台商业管理范围不接受客户端tenant_id,BIGINT,plan_code唯一,长期保留,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SAA-001,SAAS,saas_entitlement_version,CONTROLLED_WRITE,HYBRID,发布前受控更新发布后不可变,适用范围由服务端计划与租户绑定解析,ULID,plan_id_version唯一及effective_window索引,版本永久保留,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SAA-001,SAAS,saas_entitlement_item,APPEND_ONLY,XML,随版本只追加发布后不可变,继承权益版本服务端范围,ULID,entitlement_version_feature唯一,版本永久保留,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SAA-001,SAAS,saas_tenant_lifecycle_event,APPEND_ONLY,XML,租户生命周期只追加禁止覆盖,tenant_id由Foundation回传并交叉校验,ULID,tenant_id_version唯一及occurred_at索引,永久保留或满足法定义务,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SAA-001,SAAS,saas_command_result,CONTROLLED_WRITE,XML,稳定幂等结果和处理状态受控迁移,可信平台或租户命名空间,ULID,authority_scope_idempotency_key唯一,按幂等保留策略归档,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SAA-001,SAAS,saas_outbox,CONTROLLED_WRITE,XML,负载不可变投递状态受控更新,可信平台或租户命名空间,ULID,event_id唯一及delivery_status索引,已投递按审计策略归档,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SUB-001,SUBSCRIPTION,sub_subscription,CONTROLLED_WRITE,HYBRID,具名状态条件更新且版本乐观锁,tenant_id来自可信上下文或批准SaaS事件,ULID,tenant_id_subscription_code唯一及status_end_at索引,终止后长期保留,表及字段中文COMMENT,仅设计且依赖SAA接受后再分配实际Flyway版本
T2-SUB-001,SUBSCRIPTION,sub_subscription_state_event,APPEND_ONLY,XML,只追加订阅事件禁止更新删除,继承可信tenant_id,ULID,subscription_id_version唯一及effective_at索引,长期保留并可按年份归档,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SUB-001,SUBSCRIPTION,sub_schedule_checkpoint,CONTROLLED_WRITE,XML,任务租约检查点和重试预算受控更新,任务按可信租户分片且拒绝客户端租户参数,ULID,job_type_shard_key唯一及lease_until索引,短期热数据加审计归档,表及字段中文COMMENT,仅设计不创建后台任务
T2-SUB-001,SUBSCRIPTION,sub_outbox,CONTROLLED_WRITE,XML,负载不可变投递状态受控更新,可信tenant_id命名空间,ULID,event_id唯一及delivery_status索引,已投递按审计策略归档,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SVC-001,SERVICE,svc_service_catalog_version,CONTROLLED_WRITE,HYBRID,发布前受控更新发布后不可变,平台模板和租户适用范围由服务端解析,ULID,catalog_code_version唯一及effective_window索引,版本永久保留,表及字段中文COMMENT,仅设计且依赖SUB接受后再分配实际Flyway版本
T2-SVC-001,SERVICE,svc_implementation_project,CONTROLLED_WRITE,HYBRID,具名状态条件更新且版本乐观锁,tenant_id来自可信上下文且组织门店交叉校验,ULID,tenant_id_project_code唯一及status_target_date索引,交付后长期保留,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SVC-001,SERVICE,svc_project_check_event,APPEND_ONLY,XML,检查结果和状态只追加,继承项目可信租户与门店范围,ULID,project_id_check_code_version唯一,随项目长期保留,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SVC-001,SERVICE,svc_work_order,CONTROLLED_WRITE,HYBRID,具名状态认领租约和乐观锁,tenant_id与门店数据范围服务端注入,ULID,tenant_id_order_code唯一及status_priority_created索引,关闭后按服务策略归档,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SVC-001,SERVICE,svc_work_order_state_event,APPEND_ONLY,XML,只追加状态处理复核事实,继承工单可信范围,ULID,work_order_id_version唯一及occurred_at索引,随工单长期保留,表及字段中文COMMENT,仅设计不创建迁移文件
T2-SVC-001,SERVICE,svc_attachment_reference,APPEND_ONLY,XML,只保存不可变对象引用和摘要删除以新清理事实表达,对象路径必须租户命名空间并在下载时重校验,ULID,tenant_id_object_ref唯一及expires_at索引,按目的期限清理正文并保留证明,表及字段中文COMMENT,仅设计不创建对象或迁移
T2-SVC-001,SERVICE,svc_outbox,CONTROLLED_WRITE,XML,负载不可变投递状态受控更新,可信tenant_id命名空间,ULID,event_id唯一及delivery_status索引,已投递按审计策略归档,表及字段中文COMMENT,仅设计不创建迁移文件
